Protein IDs,Compartment,Gene names,Normalized Map profiles,Fraction MAP1_01K,Fraction MAP1_03K,Fraction MAP1_06K,Fraction MAP1_12K,Fraction MAP1_24K,Fraction MAP1_80K,Fraction MAP2_01K,Fraction MAP2_03K,Fraction MAP2_06K,Fraction MAP2_12K,Fraction MAP2_24K,Fraction MAP2_80K,Fraction MAP3_01K,Fraction MAP3_03K,Fraction MAP3_06K,Fraction MAP3_12K,Fraction MAP3_24K,Fraction MAP3_80K,SVM predictions,Actin binding proteins,ER,Endosome,Ergic/ cisGolgi,Golgi,Large Protein Complex,Lysosome,Mitochondrion,Nuclear pore complex,Peroxisome,Plasma membrane,Protein IDs,Compartment Marker,Gene names,PredictionMax probability,Prediction Winner,Multiple Prediction Winners?,Classification,Confidence
O00287,undefined,RFXAP,,0.142353899,0.19434942,0.175117084,0.117908776,0.188821014,0.181449807,0.269706963,0.186676717,0.103834919,0.102402714,0.184010176,0.15336851,0.204372447,0.15665841,0.230369965,0.180465182,0.095402952,0.132731046,,0.039125441,0.013470036,0.088255571,0.00863338,0.018722079,0.690307675,0.009190754,0.05138561,0.004586897,0.003497993,0.072824564,O00287, ,RFXAP,0.690,Large Protein Complex,no,Large Protein Complex,Medium
P07384,undefined,CAPN1,,0.162890947,0.184279556,0.151352839,0.18378428,0.184976612,0.132715766,0.165476828,0.178415239,0.170627993,0.181621752,0.20097319,0.102884998,0.176525534,0.218658555,0.134938086,0.196091722,0.151082051,0.122704052,,0.033066482,0.008052659,0.089669892,0.01536415,0.013696765,0.690133489,0.006314311,0.01179225,0.00407661,0.003856648,0.123976743,P07384, ,CAPN1,0.690,Large Protein Complex,no,Large Protein Complex,Medium
Q96D46,undefined,NMD3,,0.10507937,0.098147944,0.119393815,0.167603985,0.206918824,0.302856063,0.102605005,0.097493677,0.119845558,0.179016249,0.183720396,0.317319116,0.108695767,0.101373852,0.13160918,0.154792599,0.195187548,0.308341054,,0.001848267,0.003735072,0.283670567,0.002837525,0.003068833,0.689398899,0.005786547,0.00312173,0.001509613,0.001835875,0.003187071,Q96D46, ,NMD3,0.689,Large Protein Complex,no,Large Protein Complex,Medium
A7E2V4,undefined,ZSWIM8,,0.193815156,0.175748632,0.134808559,0.144305721,0.184551771,0.166770161,0.164315013,0.17668868,0.201398103,0.129043998,0.148453671,0.180100536,0.144996605,0.164595287,0.195176955,0.196690776,0.137097327,0.161443051,,0.021177034,0.007111689,0.192149373,0.013277751,0.010689811,0.689117567,0.005081968,0.011355192,0.002289791,0.002515008,0.045234816,A7E2V4, ,ZSWIM8,0.689,Large Protein Complex,no,Large Protein Complex,Medium
Q14807,undefined,KIF22,,0.560732733,0.071640034,0.073748865,0.09435175,0.099121198,0.100405422,0.597928653,0.073274428,0.07568693,0.090487865,0.08767104,0.074951084,0.548029282,0.073031569,0.089194502,0.099510272,0.10411716,0.086117216,,0.006885111,0.012471096,0.034974872,0.006185414,0.013744337,0.688259861,0.011427788,0.032772503,0.173158001,0.004656337,0.015464678,Q14807, ,KIF22,0.688,Large Protein Complex,no,Large Protein Complex,Medium
Q96T58,undefined,SPEN,,0.446487093,0.096925299,0.072689559,0.129564071,0.126667556,0.127666422,0.377209804,0.11868113,0.108390815,0.105368404,0.14669567,0.143654178,0.410898799,0.112376737,0.12513744,0.118783103,0.122099013,0.110704908,,0.009734544,0.016964018,0.05313283,0.0073214,0.018419659,0.688253096,0.01528092,0.061594043,0.10104876,0.005644463,0.022606268,Q96T58, ,SPEN,0.688,Large Protein Complex,no,Large Protein Complex,Medium
Q9BXW6,undefined,OSBPL1A,,0.155947176,0.154430267,0.157017935,0.153796734,0.263210493,0.115597395,0.06541907,0.128212796,0.19204406,0.171141793,0.276370869,0.166811412,0.193654341,0.25412434,0.192347284,0.133373967,0.117391304,0.109108763,,0.015520831,0.010211423,0.087732893,0.022068975,0.021604289,0.688068093,0.007886971,0.087483251,0.003998192,0.003550582,0.051874499,Q9BXW6, ,OSBPL1A,0.688,Large Protein Complex,no,Large Protein Complex,Medium
Q9H3L0,undefined,MMADHC,,0.127333451,0.254888083,0.203802825,0.149363001,0.109019729,0.15559291,0.155745593,0.351916656,0.115021215,0.110821924,0.105033317,0.161461295,0.109182,0.277484496,0.262781252,0.107298447,0.111994516,0.13125929,,0.034955274,0.007321362,0.006634925,0.006713835,0.178980404,0.688023566,0.004568543,0.045426454,0.002991412,0.002367249,0.022016977,Q9H3L0, ,MMADHC,0.688,Large Protein Complex,no,Large Protein Complex,Medium
Q5HYA8,undefined,TMEM67,,0.215482304,0.234295045,0.118302851,0.117616022,0.165111826,0.149191953,0.145387694,0.22630954,0.173379074,0.097859876,0.194502353,0.162561464,0.022859322,0.164417297,0.186937638,0.134919881,0.137545687,0.353320175,,0.012043254,0.016100995,0.157159503,0.006998198,0.017981342,0.688022471,0.010422016,0.065554489,0.003985792,0.003411668,0.018320272,Q5HYA8, ,TMEM67,0.688,Large Protein Complex,no,Large Protein Complex,Medium
P51957,undefined,NEK4,,0.089935683,0.152314896,0.255484558,0.143960111,0.296446877,0.061857875,0.07268318,0.166743766,0.194422249,0.203919425,0.256837265,0.105394115,0.134573934,0.212736906,0.097759534,0.084448986,0.216446685,0.254033955,,0.009625594,0.01569458,0.0692682,0.022746978,0.01798951,0.687930635,0.011149277,0.13865724,0.005208788,0.003993842,0.017735356,P51957, ,NEK4,0.688,Large Protein Complex,no,Large Protein Complex,Medium
Q9C0H5,undefined,ARHGAP39,,0.111263832,0.278198677,0.199743522,0.142703236,0.137735279,0.130355455,0.12035049,0.246196224,0.122356138,0.150701861,0.262287784,0.098107503,0.094467284,0.259310681,0.157206466,0.233538575,0.090653891,0.164823104,,0.032196046,0.005637391,0.035482003,0.018199502,0.056762091,0.686912794,0.005009531,0.019698654,0.003279648,0.002592322,0.134230018,Q9C0H5, ,ARHGAP39,0.687,Large Protein Complex,no,Large Protein Complex,Medium
Q16666,undefined,IFI16,,0.466747845,0.110318303,0.087033998,0.085816324,0.132021116,0.118062413,0.501494802,0.095265718,0.074851635,0.086341529,0.11708536,0.124960957,0.525806054,0.097146665,0.09157618,0.081978138,0.099319807,0.104173156,,0.008305779,0.015663959,0.046477757,0.007081898,0.01699044,0.686470467,0.014104704,0.049821821,0.130036376,0.005361282,0.019685517,Q16666, ,IFI16,0.686,Large Protein Complex,no,Large Protein Complex,Medium
P49761,undefined,CLK3,,0.335442205,0.150054476,0.099320494,0.132179945,0.132522067,0.150480812,0.25332539,0.248138219,0.089135141,0.083018568,0.183703704,0.142678979,0.29688858,0.066627445,0.091510784,0.164529543,0.176126614,0.204317034,,0.014949178,0.017207036,0.121031351,0.004928428,0.016977063,0.685753284,0.01522086,0.084360053,0.009147188,0.004747256,0.025678304,P49761, ,CLK3,0.686,Large Protein Complex,no,Large Protein Complex,Medium
Q9H2D6,undefined,TRIOBP,,0.124663055,0.218093779,0.176411224,0.177233041,0.157414104,0.146184797,0.1193338,0.234098545,0.197401099,0.169141443,0.152423204,0.127601909,0.142071703,0.217604673,0.187212108,0.174757249,0.156239106,0.12211516,,0.047111426,0.005799253,0.028701528,0.042514625,0.019771219,0.685690763,0.003388822,0.006441916,0.002544151,0.002604818,0.15543148,Q9H2D6, ,TRIOBP,0.686,Large Protein Complex,no,Large Protein Complex,Medium
Q86TM3,undefined,DDX53,,0.121109347,0.132795337,0.077167621,0.176903433,0.308085181,0.183939081,0.05111625,0.342582551,0.160749487,0.175012107,0.096693882,0.173845724,0.1422055,0.132128959,0.259215353,0.114776349,0.192811552,0.158862287,,0.009411618,0.020168087,0.124618369,0.017432376,0.022461549,0.685514043,0.011663437,0.067306078,0.004727183,0.004051691,0.032645571,Q86TM3, ,DDX53,0.686,Large Protein Complex,no,Large Protein Complex,Medium
P13994,undefined,CCDC130,,0.259488478,0.075845439,0.070854376,0.272044121,0.114466908,0.207300677,0.275532501,0.186811169,0.150880826,0.11484003,0.146875258,0.125060217,0.233002298,0.131485875,0.039349056,0.103317954,0.349859225,0.142985593,,0.007483027,0.018090038,0.068210609,0.004835421,0.017996423,0.68515642,0.014771862,0.151984208,0.005995404,0.004079451,0.021397138,P13994, ,CCDC130,0.685,Large Protein Complex,no,Large Protein Complex,Medium
Q9BXS9,undefined,SLC26A6,,0.11640055,0.170461091,0.157645911,0.076547101,0.334458595,0.144486753,0.055884067,0.262460793,0.172868914,0.129790983,0.17613081,0.202864433,0.100468312,0.178695198,0.207014642,0.205836732,0.253920272,0.054064845,,0.011885899,0.014350976,0.055716487,0.023383541,0.028738525,0.683956104,0.01061005,0.132470656,0.005502576,0.004320865,0.02906432,Q9BXS9, ,SLC26A6,0.684,Large Protein Complex,no,Large Protein Complex,Medium
Q6P6B7,undefined,ANKRD16,,0.112310468,0.22808962,0.112153412,0.082449709,0.26093668,0.204060112,0.067399994,0.34864215,0.121392007,0.179021226,0.10850511,0.175039514,0.084328521,0.211315164,0.287610975,0.180385671,0.084397432,0.151962237,,0.01627547,0.015038638,0.043872875,0.017731144,0.107995917,0.682040558,0.009096535,0.055926743,0.005049065,0.004144951,0.042828103,Q6P6B7, ,ANKRD16,0.682,Large Protein Complex,no,Large Protein Complex,Medium
Q86U86,undefined,PBRM1,,0.377466186,0.094727637,0.151788705,0.087323098,0.159358563,0.12933581,0.361027847,0.115810443,0.138497768,0.108499998,0.090836241,0.185327704,0.31134466,0.165206569,0.145080393,0.141320516,0.13452583,0.102522032,,0.014104453,0.01763019,0.06600288,0.006385301,0.018306662,0.681783446,0.015049644,0.095743362,0.051058602,0.005199393,0.028736067,Q86U86, ,PBRM1,0.682,Large Protein Complex,no,Large Protein Complex,Medium
Q96K58,undefined,ZNF668,,0.200501633,0.154484576,0.176832598,0.149334385,0.139837181,0.179009628,0.174204562,0.15485241,0.138835117,0.157330823,0.197642428,0.177134661,0.144956024,0.182650474,0.246846537,0.136861874,0.154740368,0.133944724,,0.016426457,0.009140284,0.182504416,0.01662833,0.011796982,0.681519995,0.005593703,0.017409618,0.002629135,0.002709132,0.053641949,Q96K58, ,ZNF668,0.682,Large Protein Complex,no,Large Protein Complex,Medium
Q5T6V5,undefined,C9orf64,,0.211734508,0.171798522,0.155420923,0.177898555,0.137172786,0.145974706,0.14822207,0.217393483,0.203079852,0.157642009,0.13680624,0.136856346,0.148137695,0.228419927,0.16041052,0.169732735,0.15556981,0.137729314,,0.049785924,0.007522523,0.053435086,0.012151084,0.011769687,0.681368312,0.004120311,0.010685217,0.002410825,0.002427409,0.164323621,Q5T6V5, ,C9orf64,0.681,Large Protein Complex,no,Large Protein Complex,Medium
Q96L58,undefined,B3GALT6,,0.077279514,0.209897642,0.250188662,0.187085498,0.159652625,0.11589606,0.125647754,0.222785385,0.233818862,0.133274361,0.113281413,0.171192225,0,0.373206063,0.143402906,0.225680324,0.06413695,0.193573757,,0.010989756,0.013734716,0.020366363,0.020232311,0.112137813,0.681017837,0.009448158,0.09002831,0.004493342,0.003407278,0.034144118,Q96L58, ,B3GALT6,0.681,Large Protein Complex,no,Large Protein Complex,Medium
Q9H2C0,undefined,GAN,,0.239693186,0.112293102,0.15558845,0.131578761,0.160900328,0.199946173,0.323805655,0.121169194,0.14208661,0.122906521,0.146464674,0.143567347,0.261571235,0.153312013,0.169121835,0.170512792,0.129030492,0.116451634,,0.017964799,0.016476811,0.11288375,0.005647471,0.016216783,0.680465253,0.013190408,0.076252816,0.012132112,0.004622121,0.044147676,Q9H2C0, ,GAN,0.680,Large Protein Complex,no,Large Protein Complex,Medium
Q5T0B9,undefined,ZNF362,,0.206759572,0.142126978,0.078182424,0.294682435,0.162257538,0.115991053,0.208552562,0.179089605,0.214886931,0.050698209,0.121548815,0.225223879,0.168659522,0.25141566,0.232728145,0.045221147,0.109701672,0.192273854,,0.01418519,0.020517015,0.073710987,0.006529908,0.020877889,0.680384189,0.013229564,0.131477356,0.004938332,0.003761125,0.030388445,Q5T0B9, ,ZNF362,0.680,Large Protein Complex,no,Large Protein Complex,Medium
P63167;Q96FJ2,undefined,DYNLL1;DYNLL2,,0.27343763,0.103938021,0.105391002,0.139242121,0.199513085,0.178478142,0.210811073,0.122533573,0.12437097,0.139249527,0.209526349,0.193508508,0.287605344,0.112975334,0.118216855,0.144090442,0.169856115,0.16725591,,0.008774401,0.011649439,0.212417635,0.004439385,0.011962987,0.679339668,0.012575726,0.032615675,0.005237619,0.003801177,0.017186289,P63167;Q96FJ2, ,DYNLL1;DYNLL2,0.679,Large Protein Complex,no,Large Protein Complex,Medium
Q14679,undefined,TTLL4,,0.084372797,0.189657583,0.192282997,0.166085937,0.181481703,0.186118983,0.257813623,0.077203707,0.127469593,0.095484794,0.246182179,0.195846104,0.075053222,0.17030066,0.274169272,0.166578131,0.09348477,0.220413945,,0.00694122,0.012612043,0.156015114,0.01655611,0.014406197,0.678679237,0.010372508,0.069246208,0.003893818,0.003282426,0.02799512,Q14679, ,TTLL4,0.679,Large Protein Complex,no,Large Protein Complex,Medium
Q13620,undefined,CUL4B,,0.492606707,0.101924506,0.075637241,0.101092803,0.116677006,0.112061737,0.447502641,0.109566958,0.083210573,0.100339096,0.137375618,0.122005114,0.440347566,0.137201634,0.087216496,0.102078624,0.111217105,0.121938575,,0.009180268,0.016501554,0.045058166,0.007514076,0.017849086,0.678443608,0.014998162,0.050785047,0.133177164,0.005785029,0.02070784,Q13620, ,CUL4B,0.678,Large Protein Complex,no,Large Protein Complex,Medium
Q9NUS5,undefined,AP5S1,,0.407802556,0.074559227,0.102601489,0.13293776,0.162774502,0.119324466,0.409967619,0.077407042,0.138412564,0.141880583,0.168238772,0.064093419,0.29986735,0.042067742,0.120332857,0.213042895,0.230056449,0.094632708,,0.008626404,0.01947721,0.088819848,0.006939799,0.021175154,0.678173741,0.016984026,0.098943835,0.028345992,0.005457142,0.027056851,Q9NUS5, ,AP5S1,0.678,Large Protein Complex,no,Large Protein Complex,Medium
O14727,undefined,APAF1,,0.140630259,0.135566066,0.157197624,0.150275613,0.20391628,0.212414158,0.213719434,0.156670269,0.258149003,0.134696516,0.10794973,0.128815048,0.118680381,0.133888517,0.262818322,0.115337502,0.158906139,0.21036914,,0.01212244,0.028681471,0.119350978,0.022255184,0.015353078,0.677973491,0.009395144,0.051937114,0.003691966,0.004469423,0.054769712,O14727, ,APAF1,0.678,Large Protein Complex,no,Large Protein Complex,Medium
Q8N0Z3,undefined,SPICE1,,0.159649679,0.210292365,0.14240668,0.108457966,0.124878891,0.25431442,0.18573456,0.139772319,0.195179316,0.193045439,0.100030532,0.186237833,0.06625589,0.150078754,0.335786766,0.11523869,0.165780063,0.166859837,,0.013903783,0.021314637,0.08421402,0.030553871,0.021205465,0.677149097,0.009406232,0.068456029,0.004247373,0.004900306,0.064649187,Q8N0Z3, ,SPICE1,0.677,Large Protein Complex,no,Large Protein Complex,Medium
Q9Y2Y9,undefined,KLF13,,0.575443663,0.097331334,0.092399146,0.061067358,0.077515595,0.096242904,0.652279349,0.098787051,0.065113037,0.064482201,0.053084078,0.066254285,0.635840174,0.091656288,0.062155104,0.083511373,0.056731171,0.07010589,,0.007384528,0.01395532,0.040682299,0.006609688,0.01533283,0.676638602,0.012674698,0.040573925,0.163752004,0.005005412,0.017390693,Q9Y2Y9, ,KLF13,0.677,Large Protein Complex,no,Large Protein Complex,Medium
Q8WYB5,undefined,KAT6B,,0.169145709,0.212531129,0.09115637,0.170137674,0.206119903,0.150909214,0.155819217,0.137813219,0.225343068,0.110760579,0.205422998,0.16484092,0.25230824,0.209820026,0.123402615,0.158994278,0.11712278,0.138352062,,0.048756707,0.009165367,0.117357603,0.009300487,0.019549394,0.675582583,0.008723194,0.071873281,0.004042492,0.003376346,0.032272546,Q8WYB5, ,KAT6B,0.676,Large Protein Complex,no,Large Protein Complex,Medium
Q7Z494,undefined,NPHP3,,0.12988264,0.192330352,0.217413718,0.132522064,0.147289288,0.180561938,0.185276602,0.268616353,0.052728395,0.189240953,0.120830645,0.183307052,0.107611032,0.095635078,0.231919726,0.193051472,0.153144407,0.218638287,,0.011070274,0.016035903,0.202479794,0.019007863,0.012176746,0.67502629,0.009135485,0.02042549,0.003639201,0.003303964,0.027698991,Q7Z494, ,NPHP3,0.675,Large Protein Complex,no,Large Protein Complex,Medium
O75843,undefined,AP1G2,,0.155282009,0.097104494,0.145923331,0.257431703,0.1956276,0.148630863,0.296279293,0.180983288,0.098295062,0.116858585,0.141737706,0.165846067,0.131246644,0.150501001,0.267028973,0.111626894,0.158546523,0.181049966,,0.008785939,0.02396428,0.157643248,0.008855809,0.014984349,0.674976183,0.014420309,0.052420291,0.005136344,0.004115384,0.034697864,O75843, ,AP1G2,0.675,Large Protein Complex,no,Large Protein Complex,Medium
Q6PI98,undefined,INO80C,,0.21001113,0.203236772,0.063086966,0.243061697,0.068778389,0.211825046,0.110578593,0.147198069,0.306654191,0.135647504,0.161811879,0.138109765,0.114918651,0.338462484,0.118629397,0.129906827,0.102259116,0.195823526,,0.019531721,0.014381502,0.055991087,0.007753703,0.026869375,0.674911484,0.010565566,0.127233262,0.004259518,0.003922379,0.054580402,Q6PI98, ,INO80C,0.675,Large Protein Complex,no,Large Protein Complex,Medium
Q9ULW3,undefined,ABT1,,0.405625466,0.137999282,0.049953512,0.114617374,0.109991623,0.181812742,0.307421233,0.242852893,0.091361138,0.142453392,0.088088627,0.127822718,0.208318965,0.182195234,0.155604392,0.155968048,0.150807883,0.147105479,,0.023946014,0.020110358,0.0794948,0.005872704,0.018844322,0.674542606,0.016262622,0.100441076,0.014154752,0.005429825,0.040900919,Q9ULW3, ,ABT1,0.675,Large Protein Complex,no,Large Protein Complex,Medium
Q8N3Z6,undefined,ZCCHC7,,0.17077092,0.207444824,0.138275972,0.141000212,0.12590014,0.216607932,0.259212591,0.093258722,0.240403699,0.13455279,0.078156647,0.19441555,0.126519443,0.220494026,0.166366409,0.219177013,0.118724676,0.148718432,,0.028065078,0.014171117,0.087372553,0.010926307,0.017769649,0.674251114,0.010428853,0.06513813,0.004369502,0.004367864,0.083139831,Q8N3Z6, ,ZCCHC7,0.674,Large Protein Complex,no,Large Protein Complex,Medium
Q14865,undefined,ARID5B,,0.30427159,0.084373277,0.135272868,0.124195119,0.145418187,0.20646896,0.264334464,0.183572768,0.15105165,0.142480989,0.132533229,0.1260269,0.281869405,0.09197398,0.120191505,0.174687982,0.203735987,0.127541142,,0.013234351,0.017081852,0.132622649,0.00527198,0.016024417,0.673854834,0.014329642,0.077699779,0.011473225,0.004756929,0.033650342,Q14865, ,ARID5B,0.674,Large Protein Complex,no,Large Protein Complex,Medium
Q6UB99,undefined,ANKRD11,,0.317580388,0.115727521,0.11339305,0.133793924,0.161929436,0.157575681,0.304047546,0.104746773,0.120096969,0.163626064,0.168068237,0.139414411,0.331178411,0.106344696,0.15634452,0.114170373,0.149173771,0.14278823,,0.012748216,0.017566362,0.132812924,0.006266997,0.018089018,0.67312454,0.015959262,0.067442775,0.021324205,0.005375895,0.029289807,Q6UB99, ,ANKRD11,0.673,Large Protein Complex,no,Large Protein Complex,Medium
Q14186,undefined,TFDP1,,0.468398706,0.133333333,0.091535247,0.1312778,0.081668689,0.093786225,0.404316885,0.122376119,0.069476373,0.112298501,0.147908436,0.143623686,0.350532122,0.134434195,0.131039774,0.117595773,0.161839497,0.104558638,,0.010735078,0.018372266,0.057231661,0.007678642,0.019745333,0.672980537,0.016413357,0.070374208,0.095860853,0.005975912,0.024632152,Q14186, ,TFDP1,0.673,Large Protein Complex,no,Large Protein Complex,Medium
Q14332,undefined,FZD2,,0.112499953,0.159638817,0.160840991,0.157094153,0.084269727,0.32565636,0.111981927,0.205403163,0.189110698,0.197456801,0.121418232,0.17462918,0.138337815,0.200844635,0.181766545,0.210317893,0.120036327,0.148696785,,0.011909318,0.006346821,0.040641551,0.031389573,0.012045434,0.672717253,0.005053126,0.014502131,0.003016708,0.003541742,0.198836343,Q14332, ,FZD2,0.673,Large Protein Complex,no,Large Protein Complex,Medium
Q5C9Z4,undefined,NOM1,,0.399265593,0.152987215,0.090074781,0.100619154,0.122458388,0.13459487,0.413989635,0.116270716,0.15705593,0.077570761,0.107377699,0.12773526,0.388414082,0.088554637,0.103633688,0.124174591,0.149837748,0.145385254,,0.011158758,0.017794236,0.057475732,0.007312551,0.019216973,0.672539913,0.015797572,0.078670628,0.090562442,0.005671315,0.02379988,Q5C9Z4, ,NOM1,0.673,Large Protein Complex,no,Large Protein Complex,Medium
Q96MX3,undefined,ZNF48,,0.42391725,0.100489992,0.074750894,0.177497325,0.100234498,0.123110042,0.373743397,0.162747006,0.094793661,0.159956065,0.10070192,0.108057953,0.341100354,0.11395726,0.056700809,0.186131571,0.193827862,0.108282145,,0.009999247,0.019004754,0.073893222,0.006899137,0.020212626,0.672479112,0.016506122,0.101326837,0.047388206,0.00541278,0.026877957,Q96MX3, ,ZNF48,0.672,Large Protein Complex,no,Large Protein Complex,Medium
O43597,undefined,SPRY2,,0.136319919,0.158265144,0.096368161,0.13267892,0.253412005,0.22295585,0.214682816,0.231994378,0.235341419,0.072280807,0.18074021,0.06496037,0.120086676,0.237303242,0.183343555,0.109538411,0.170996361,0.178731755,,0.024415385,0.012114921,0.03335932,0.007896147,0.031548196,0.672364767,0.007926025,0.168225076,0.003893509,0.003350616,0.034906037,O43597, ,SPRY2,0.672,Large Protein Complex,no,Large Protein Complex,Medium
Q9ULJ3,undefined,ZBTB21,,0.438059707,0.090335484,0.064008272,0.111646347,0.123833841,0.17211635,0.329213936,0.047320281,0.23620551,0.08220108,0.144368926,0.160690268,0.428376142,0.090806754,0.078191569,0.105869266,0.138449363,0.158306906,,0.00916608,0.019312624,0.084431687,0.007084438,0.021329261,0.672150521,0.016978082,0.112370466,0.025641898,0.005416613,0.026118329,Q9ULJ3, ,ZBTB21,0.672,Large Protein Complex,no,Large Protein Complex,Medium
O75923,undefined,DYSF,,0.102049075,0.127313944,0.271549121,0.17201357,0.116747658,0.210326632,0.097958855,0.219851297,0.152783655,0.136917931,0.214189285,0.178298978,0.170038169,0.159262239,0.233967533,0.164587852,0.165891136,0.106253072,,0.011070184,0.012908758,0.129695086,0.062743073,0.016617949,0.671895667,0.007339539,0.036068132,0.003971625,0.004031377,0.04365861,O75923, ,DYSF,0.672,Large Protein Complex,no,Large Protein Complex,Medium
P05161,undefined,ISG15,,0.175375575,0.157129093,0.18152514,0.203256771,0.153061103,0.129652318,0.195467149,0.211959871,0.13184549,0.16118193,0.168759147,0.130786413,0.181018602,0.22370124,0.191523935,0.142946217,0.154122304,0.106687703,,0.033228109,0.01014187,0.067940923,0.013028861,0.012516097,0.67082507,0.005660164,0.013609704,0.003143554,0.002634975,0.167270673,P05161, ,ISG15,0.671,Large Protein Complex,no,Large Protein Complex,Medium
P54725,undefined,RAD23A,,0.184297737,0.192953386,0.159820637,0.132828966,0.179232256,0.150867018,0.196753888,0.312279476,0.172019976,0.096824657,0.222122003,0,0.191114232,0.19240796,0.11529785,0.140580813,0.151489738,0.209109408,,0.076310398,0.014245034,0.040218581,0.005725236,0.023036124,0.670470468,0.009468161,0.091659593,0.004783256,0.003702864,0.060380283,P54725, ,RAD23A,0.670,Large Protein Complex,no,Large Protein Complex,Medium
Q16576,undefined,RBBP7,,0.647056551,0.090884387,0.063371412,0.07245354,0.069893235,0.056340876,0.624353661,0.099645142,0.059086654,0.075497536,0.079511606,0.061905401,0.59961575,0.123862874,0.070521516,0.070330548,0.075361681,0.060307632,,0.0070014,0.012808236,0.035472903,0.006332886,0.014152583,0.670242816,0.011777778,0.033768481,0.187821926,0.004818814,0.015802177,Q16576, ,RBBP7,0.670,Large Protein Complex,no,Large Protein Complex,Medium
Q9UHH9,undefined,IP6K2,,0.12290113,0.160821749,0.076785874,0.276340212,0.200351567,0.162799468,0.124668538,0.229651685,0.139603034,0.097724979,0.208844487,0.199507278,0.118162512,0.159601662,0.216410975,0.19778004,0.138562024,0.169482788,,0.005396131,0.006737963,0.257772483,0.008328245,0.009562315,0.669968562,0.007930221,0.011837699,0.002616722,0.002502187,0.017347472,Q9UHH9, ,IP6K2,0.670,Large Protein Complex,no,Large Protein Complex,Medium
Q6ZU80,undefined,CEP128,,0.10864485,0.144633608,0.185689621,0.225239912,0.190680586,0.145111423,0.140736399,0.287404204,0.145543842,0.11338665,0.147598875,0.16533003,0.057933538,0.143428346,0.155001548,0.142921861,0.421649456,0.079065252,,0.008060415,0.018180676,0.086717802,0.014942609,0.019473426,0.669958927,0.014169391,0.137388068,0.005288433,0.003930597,0.021889657,Q6ZU80, ,CEP128,0.670,Large Protein Complex,no,Large Protein Complex,Medium
Q08357,undefined,SLC20A2,,0,0.241637361,0.286964015,0.195610517,0.168960388,0.10682772,0.148577977,0.241980507,0.187537891,0.197997375,0.153134847,0.070771404,0.092190506,0.176830679,0.161103698,0.200444178,0.039636368,0.329794571,,0.011964885,0.051904195,0.061531008,0.030753342,0.027269732,0.669856258,0.013250158,0.0607033,0.004913186,0.003954302,0.063899634,Q08357, ,SLC20A2,0.670,Large Protein Complex,no,Large Protein Complex,Medium
O15504,undefined,NUPL2,,0.362861166,0.083488892,0.102121437,0.164410754,0.150996111,0.136121639,0.332128318,0.09033529,0.132672833,0.181160901,0.132221221,0.131481438,0.296801566,0.094425907,0.15192251,0.143782023,0.159564345,0.153503651,,0.010316999,0.019081084,0.123136978,0.006710154,0.019164192,0.669182536,0.017008756,0.070763756,0.028848403,0.005755172,0.03003197,O15504, ,NUPL2,0.669,Large Protein Complex,no,Large Protein Complex,Medium
Q8N3Y7,undefined,SDR16C5,,0.079956903,0.108811679,0.222559564,0.203024717,0.131694127,0.25395301,0.086858367,0.151193605,0.222125388,0.172044805,0.161228265,0.20654957,0.107418896,0.158347874,0.231210418,0.182645082,0.10752068,0.212857051,,0.006904527,0.013027046,0.181929402,0.063802374,0.010407025,0.669051695,0.009874098,0.01258187,0.004945972,0.006044174,0.021431816,Q8N3Y7, ,SDR16C5,0.669,Large Protein Complex,no,Large Protein Complex,Medium
Q9UER7,undefined,DAXX,,0.174202253,0.116481144,0.117931593,0.181380287,0.127288673,0.282716049,0.307796689,0.109352065,0.106196585,0.051459907,0.065782753,0.359412001,0.201780963,0.105238712,0.064018638,0.227013877,0.215764477,0.186183332,,0.00743245,0.017213886,0.13418928,0.005653201,0.017668722,0.668849216,0.015888214,0.101327824,0.005709707,0.004443157,0.021624342,Q9UER7, ,DAXX,0.669,Large Protein Complex,no,Large Protein Complex,Medium
Q96QE3,undefined,ATAD5,,0.35621066,0.107519157,0.118611453,0.138598112,0.142420977,0.136639642,0.253146637,0.18025649,0.163696495,0.125835733,0.147874087,0.129190559,0.254209062,0.195335919,0.142549397,0.12275848,0.150521634,0.134625509,,0.03578727,0.018385332,0.078991276,0.00563189,0.017731249,0.668060006,0.014255678,0.091638878,0.016508709,0.00522714,0.047782572,Q96QE3, ,ATAD5,0.668,Large Protein Complex,no,Large Protein Complex,Medium
Q96PM9,undefined,ZNF385A,,0.244382245,0.167327359,0.05259365,0.123010557,0.234621997,0.178064193,0.168570668,0.273105571,0.28499493,0.06229002,0.070795484,0.140243328,0.153045003,0.251043224,0.117825948,0.104335318,0.188916343,0.184834164,,0.036081205,0.013606849,0.037544838,0.004604755,0.020073715,0.667706401,0.009817821,0.181100074,0.004319105,0.003405499,0.021739737,Q96PM9, ,ZNF385A,0.668,Large Protein Complex,no,Large Protein Complex,Medium
